Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S157663568,Tundra Swan,Cygnus columbianus,384,80,US-CA,San Joaquin,L468580,Staten Island,38.2020281,-121.5043546,2023-12-31,11:33 AM,eBird - Traveling Count,95,1,14.001,,2
S155140508,Tundra Swan,Cygnus columbianus,384,1,US-CA,Shasta,L707035,McArthur Rd.,41.0508514,-121.4430771,2023-11-24,12:00 PM,eBird - Casual Observation,,0,,,2
S278079391,Coscoroba Swan,Coscoroba coscoroba,395,2,CL-CO,La Serena,L3122565,Parque Jardín del Corazón (Kokoro No Niwa),-29.9037627,-71.2556934,2025-10-08,04:43 PM,eBird - Stationary Count,40,1,,,2
S276087426,Orinoco Goose,Oressochen jubatus,399,3,BO-L,,L10094773,Madidi Jungle Ecolodge,-14.553154,-67.696909,2025-09-22,09:55 AM,eBird - Traveling Count,138,1,28.97,,3
S276086196,Orinoco Goose,Oressochen jubatus,399,1,BO-L,,L10094773,Madidi Jungle Ecolodge,-14.553154,-67.696909,2025-09-25,09:02 AM,eBird - Traveling Count,180,1,16.09,,3
S272216518,Andean Goose,Oressochen melanopterus,400,2,PE-CUS,,L492973,ACP Abra Málaga (Valqui B2),-13.1150667,-72.3490667,2025-09-03,03:08 PM,eBird - Stationary Count,45,1,,,4
S271741426,Andean Goose,Oressochen melanopterus,400,X,PE-ANC,,L34587303,Laguna Jahuacocha,-10.2367433,-76.9576636,2025-08-29,08:00 AM,eBird - Traveling Count,600,1,12.87,,2
S281769934,Upland Goose,Chloephaga picta,401,5,CL-AI,Cochrane,L12559921,"PN Patagonia--Humedal km 3,3",-47.1115351,-72.5730196,2025-10-25,09:00 AM,eBird - Traveling Count,20,1,11.27,,2
S281769575,Upland Goose,Chloephaga picta,401,4,CL-AI,Coyhaique,L13018785,Intersección Ruta X-439 y Ruta X-439,-45.2331908,-71.3915119,2025-10-23,03:58 PM,eBird - Traveling Count,45,1,24.14,,2
S281769271,Upland Goose,Chloephaga picta,401,50,CL-AI,Coyhaique,L12894129,Río Coyhaique--Lagunas Humedal Coyhaique Alto,-45.4934362,-71.6302322,2025-10-23,02:57 PM,eBird - Traveling Count,30,1,16.09,,2
S281770138,Upland Goose (White-breasted),Chloephaga picta (White-breasted),404,10,CL-AI,Cochrane,L21400929,PN Patagonia- Sendero Laguna Cisne,-47.1136789,-72.4822086,2025-10-25,10:43 AM,eBird - Traveling Count,45,1,16.09,,2
S281770330,Upland Goose (White-breasted),Chloephaga picta (White-breasted),404,2,CL-AI,Cochrane,L10956293,PN Patagonia--Sendero Lagunas Altas,-47.129021,-72.5076329,2025-10-26,04:10 PM,eBird - Traveling Count,400,1,20.92,,2
S282101604,Upland Goose (White-breasted),Chloephaga picta (White-breasted),404,6,CL-AI,Río Ibáñez,L7267924,RN Cerro Castillo--Camino Neozelandés,-46.0860311,-72.2361803,2025-10-30,02:59 PM,eBird - Traveling Count,400,1,24.14,,2
S279944040,Kelp Goose,Chloephaga hybrida,406,2,CL-LL,Ancud,L571412,MN Islotes de Puñihuil,-41.9252706,-74.0392685,2025-10-17,03:29 PM,eBird - Traveling Count,50,1,.48,,2
S281769123,Kelp Goose,Chloephaga hybrida,406,12,CL-LL,Quellón,L11075915,Candelaria,-43.0682351,-73.5499843,2025-10-20,03:56 PM,eBird - Traveling Count,20,1,1.61,,2
S281770330,Ashy-headed Goose,Chloephaga poliocephala,409,2,CL-AI,Cochrane,L10956293,PN Patagonia--Sendero Lagunas Altas,-47.129021,-72.5076329,2025-10-26,04:10 PM,eBird - Traveling Count,400,1,20.92,,2
S281769123,Ashy-headed Goose,Chloephaga poliocephala,409,1,CL-LL,Quellón,L11075915,Candelaria,-43.0682351,-73.5499843,2025-10-20,03:56 PM,eBird - Traveling Count,20,1,1.61,,2
S282101604,Ashy-headed Goose,Chloephaga poliocephala,409,100,CL-AI,Río Ibáñez,L7267924,RN Cerro Castillo--Camino Neozelandés,-46.0860311,-72.2361803,2025-10-30,02:59 PM,eBird - Traveling Count,400,1,24.14,,2
S223294857,Radjah Shelduck,Radjah radjah,414,2,ID-IJ,Papua Barat,L10054987,Corepen Homestay,-.4998877,130.6659901,2025-04-05,04:00 PM,eBird - Traveling Count,120,1,6.437,,2
S226880042,Radjah Shelduck,Radjah radjah,414,4,ID-IJ,Papua Barat,L35497372,Marwes Homestay,-.7996889,130.5773285,2025-04-15,06:03 AM,eBird - Traveling Count,270,1,8.047,,2
S226882105,Radjah Shelduck,Radjah radjah,414,2,ID-IJ,Papua Barat,L42910661,"Waigeo Barat, West Papua, ID (-0.129, 130.288)",-.1286364,130.2884291,2025-04-09,05:27 PM,eBird - Traveling Count,50,1,6.437,,2
S281770330,Flying Steamer-Duck,Tachyeres patachonicus,432,1,CL-AI,Cochrane,L10956293,PN Patagonia--Sendero Lagunas Altas,-47.129021,-72.5076329,2025-10-26,04:10 PM,eBird - Traveling Count,400,1,20.92,,2
S279944040,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form],434,3,CL-LL,Ancud,L571412,MN Islotes de Puñihuil,-41.9252706,-74.0392685,2025-10-17,03:29 PM,eBird - Traveling Count,50,1,.48,,2
S281770138,Crested Duck,Lophonetta specularioides,441,1,CL-AI,Cochrane,L21400929,PN Patagonia- Sendero Laguna Cisne,-47.1136789,-72.4822086,2025-10-25,10:43 AM,eBird - Traveling Count,45,1,16.09,,2
